id;tracking_code;date;details;invoice_id
1;Jewelery cutting-edge;2020-01-13T02:45:46;Hat;1
2;supply-chains magenta;2020-01-13T07:12:03;24/7;2
3;Gloves sky blue Oklahoma;2020-01-13T00:23:08;Tasty Concrete Chips Exclusive;3
4;Buckinghamshire capability zero tolerance;2020-01-13T09:11:32;Personal Loan Account;4
5;paradigms Home;2020-01-13T01:47:45;deposit Canadian Dollar Lebanon;5
6;Designer Persistent;2020-01-12T17:56:47;navigate;6
7;Re-contextualized;2020-01-12T14:48:08;Point Orchestrator;7
8;Solomon Islands Licensed;2020-01-12T14:01:50;installation;8
9;Argentine Peso;2020-01-12T13:28:38;neural-net red;9
10;Buckinghamshire Future-proofed deposit;2020-01-13T05:53:34;Yen synthesize Creative;10
